LONGITUDE,UNITS,AVAILABILITYCOUNT,DETAILURL,LISTINGSTATUS,BUILDINGNAME,ADDRESS,LATITUDE,ISBUILDING,BATHROOMS,PROPERTYTYPE,LIVINGAREA,PRICE,BEDROOMS,DAYSONZILLOW,DATEPRICECHANGED,COUNTRY,CURRENCY,BEDS,PRICE_1,INGESTION_DATE
-86.76746,,,/HOMEDETAILS/102-DUKE-ST-1-NASHVILLE-TN-37207/338553265_ZPID/,FOR_RENT,,"102 DUKE ST #1, NASHVILLE, TN 37207",36.206875,,2.0,TOWNHOUSE,996.0,2200.0,1.0,49.0,1759388400000.0,USA,USD,,,20251019
-86.76432,,,/HOMEDETAILS/335A-EDITH-AVE-NASHVILLE-TN-37207/41083889_ZPID/,FOR_RENT,,"335A EDITH AVE, NASHVILLE, TN 37207",36.202347,,1.0,SINGLE_FAMILY,882.0,2675.0,2.0,61.0,1757919600000.0,USA,USD,,,20251019
-86.75605,,,/HOMEDETAILS/805-CHEROKEE-AVE-5-NASHVILLE-TN-37207/331679629_ZPID/,FOR_RENT,,"805 CHEROKEE AVE #5, NASHVILLE, TN 37207",36.202576,,3.0,APARTMENT,1300.0,2500.0,2.0,80.0,,USA,USD,,,20251019
-86.75803,,2.0,"/B/BUILDING/36.195717,-86.75803_LL/",FOR_RENT,,"712 CROCKETT ST, NASHVILLE, TN",36.195717,TRUE,,,,,,,,,,2,"$1,600+",20251019
,,,/HOMEDETAILS/NASHVILLE-TN-37207/41084500_ZPID/,FOR_RENT,,"(UNDISCLOSED ADDRESS), NASHVILLE, TN 37207",,,1.0,SINGLE_FAMILY,1200.0,1995.0,2.0,120.0,1755846000000.0,USA,USD,,,20251019
,,,/HOMEDETAILS/NASHVILLE-TN-37207/342376822_ZPID/,FOR_RENT,,"(UNDISCLOSED ADDRESS), NASHVILLE, TN 37207",,,1.0,SINGLE_FAMILY,1200.0,1995.0,2.0,126.0,1755846000000.0,USA,USD,,,20251019
-86.834114,,11.0,/APARTMENTS/NASHVILLE-TN/STATION-40/CKBN8D/,FOR_RENT,STATION 40,"610 SYLVAN HEIGHTS WAY, NASHVILLE, TN",36.151047,TRUE,,,,,,,,,,1,"$1,675+",20251019
-86.90636,,11.0,/APARTMENTS/NASHVILLE-TN/CAMDEN-WEST-NASHVILLE/5Y6RQF/,FOR_RENT,CAMDEN WEST NASHVILLE,"7113 CHARLOTTE PIKE, NASHVILLE, TN",36.127,TRUE,,,,,,,,,,1,"$1,639+",20251019
-86.92267,,14.0,/APARTMENTS/NASHVILLE-TN/AVANA-LEXINGTON/5XHXCW/,FOR_RENT,AVANA LEXINGTON,"510 OLD HICKORY BLVD, NASHVILLE, TN",36.099552,TRUE,,,,,,,,,,1,"$1,656+",20251019
-86.86326,,2.0,/APARTMENTS/NASHVILLE-TN/RICHLAND-HILLS/5XHXFT/,FOR_RENT,RICHLAND HILLS,"5800 MAUDINA AVE, NASHVILLE, TN",36.144943,TRUE,,,,,,,,,,2,"$1,601+",20251019
-86.916145,,14.0,/APARTMENTS/NASHVILLE-TN/MAA-NASHVILLE-WEST/5XHXGR/,FOR_RENT,MAA NASHVILLE WEST,"7100 SONYA DR, NASHVILLE, TN",36.114525,TRUE,,,,,,,,,,1,"$1,658+",20251019
-86.925415,,31.0,/B/HARPETH-HEIGHTS-APARTMENTS-NASHVILLE-TN-CH4QCZ/,FOR_RENT,HARPETH HEIGHTS APARTMENTS,"615 OLD HICKORY BLVD, NASHVILLE, TN",36.106655,TRUE,,,,,,,,,,1,"$1,799+",20251019
-86.85261,,2.0,/B/1638-54TH-AVE-N-NASHVILLE-TN-BSXWXQ/,FOR_RENT,,"1638 54TH AVE N, NASHVILLE, TN",36.166595,TRUE,,,,,,,,,,2,"$2,195+",20251019
-86.82095,,12.0,/APARTMENTS/NASHVILLE-TN/THE-SHAY-APARTMENTS/CMPCPB/,FOR_RENT,THE SHAY APARTMENTS,"9 CITY PL, NASHVILLE, TN",36.149986,TRUE,,,,,,,,,,1,"$1,739+",20251019
-86.84489,,19.0,/APARTMENTS/NASHVILLE-TN/CORTLAND-AT-THE-NATIONS/CKBZWD/,FOR_RENT,CORTLAND AT THE NATIONS,"4731 CENTENNIAL BLVD, NASHVILLE, TN",36.162846,TRUE,,,,,,,,,,1,"$1,815+",20251019
-86.91087,,8.0,/APARTMENTS/NASHVILLE-TN/THE-SUMMIT-AT-NASHVILLE-WEST/63FN57/,FOR_RENT,THE SUMMIT AT NASHVILLE WEST,"7201 CHARLOTTE PIKE, NASHVILLE, TN",36.123043,TRUE,,,,,,,,,,1,"$1,692+",20251019
-86.82114,,51.0,/APARTMENTS/NASHVILLE-TN/HAVEN-AT-CHARLOTTE/CKCKF5/,FOR_RENT,HAVEN AT CHARLOTTE,"3025 CHARLOTTE AVE, NASHVILLE, TN",36.152622,TRUE,,,,,,,,,,1,"$1,771+",20251019
-86.83063,,26.0,/APARTMENTS/NASHVILLE-TN/RYE-CHARLOTTE-AVE/CKBT3Y/,FOR_RENT,RYE CHARLOTTE AVE,"3800 CHARLOTTE AVE, NASHVILLE, TN",36.15322,TRUE,,,,,,,,,,1,"$1,699+",20251019
-86.85322,,6.0,/APARTMENTS/NASHVILLE-TN/BEXLEY-SILO-BEND/CKFVSZ/,FOR_RENT,BEXLEY SILO BEND,"1605 54TH AVE N, NASHVILLE, TN",36.16422,TRUE,,,,,,,,,,1,"$1,619+",20251019
-86.925514,,15.0,/APARTMENTS/NASHVILLE-TN/THE-LODGE-BELLEVUE/CGHFL8/,FOR_RENT,THE LODGE BELLEVUE,"645 OLD HICKORY BLVD, NASHVILLE, TN",36.11203,TRUE,,,,,,,,,,2,"$1,850+",20251019
-86.857185,,,/HOMEDETAILS/1525-57TH-AVE-NASHVILLE-TN-37209/365334860_ZPID/,FOR_RENT,,"1525 57TH AVE, NASHVILLE, TN 37209",36.16366,,3.0,TOWNHOUSE,1152.0,2399.0,2.0,4.0,,USA,USD,,,20251019
-86.83597,,21.0,/APARTMENTS/NASHVILLE-TN/THE-REEVE/CKZWLF/,FOR_RENT,THE REEVE,"405 40TH AVE N, NASHVILLE, TN",36.153614,TRUE,,,,,,,,,,1,"$1,885+",20251019
-86.82108,,7.0,/APARTMENTS/NASHVILLE-TN/BROADSTONE-CENTENNIAL/CKBMSG/,FOR_RENT,BROADSTONE CENTENNIAL,"2 CITY PL, NASHVILLE, TN",36.15107,TRUE,,,,,,,,,,1,"$2,140+",20251019
-86.91039,,20.0,/APARTMENTS/NASHVILLE-TN/STERLING-NASHVILLE-WEST/CKHHVX/,FOR_RENT,STERLING NASHVILLE WEST,"7114 CHARLOTTE PIKE, NASHVILLE, TN",36.12697,TRUE,,,,,,,,,,1,"$1,602+",20251019
-86.871605,,,/HOMEDETAILS/670-JAMES-AVE-NASHVILLE-TN-37209/177699814_ZPID/,FOR_RENT,,"670 JAMES AVE, NASHVILLE, TN 37209",36.16272,,3.0,TOWNHOUSE,1327.0,2300.0,2.0,7.0,1760857200000.0,USA,USD,,,20251019
-86.90014,,7.0,/APARTMENTS/NASHVILLE-TN/BELLS-BLUFF/BBMCHW/,FOR_RENT,BELLS BLUFF,"7600 CABOT DR, NASHVILLE, TN",36.134964,TRUE,,,,,,,,,,1,"$1,699+",20251019
-86.85732,,12.0,/APARTMENTS/NASHVILLE-TN/THE-UNION-APARTMENTS/CGKKZX/,FOR_RENT,THE UNION APARTMENTS,"5800 CENTENNIAL BLVD, NASHVILLE, TN",36.167206,TRUE,,,,,,,,,,1,"$1,654+",20251019
-86.871315,,13.0,/APARTMENTS/NASHVILLE-TN/WESTERN-HILLS-APARTMENTS/5XHXJJ/,FOR_RENT,WESTERN HILLS APARTMENTS,"100 WATTS CIR, NASHVILLE, TN",36.143433,TRUE,,,,,,,,,,2,"$1,649+",20251019
-86.85568,,,/HOMEDETAILS/5529-KENTUCKY-AVE-NASHVILLE-TN-37209/244086869_ZPID/,FOR_RENT,,"5529 KENTUCKY AVE, NASHVILLE, TN 37209",36.159424,,3.0,APARTMENT,1502.0,2650.0,2.0,10.0,,USA,USD,,,20251019
-86.92238,,,/HOMEDETAILS/613-OLD-HICKORY-BLVD-NASHVILLE-TN-37209/351629155_ZPID/,FOR_RENT,,"613 OLD HICKORY BLVD, NASHVILLE, TN 37209",36.107716,,3.0,TOWNHOUSE,1209.0,2195.0,2.0,12.0,,USA,USD,,,20251019
-86.9227,,,/HOMEDETAILS/601-OLD-HICKORY-BLVD-NASHVILLE-TN-37209/2074934900_ZPID/,FOR_RENT,,"601 OLD HICKORY BLVD, NASHVILLE, TN 37209",36.10662,,3.0,TOWNHOUSE,1209.0,2150.0,2.0,12.0,,USA,USD,,,20251019
-86.92193,,,/HOMEDETAILS/626-OLD-HICKORY-BLVD-NASHVILLE-TN-37209/2060274587_ZPID/,FOR_RENT,,"626 OLD HICKORY BLVD, NASHVILLE, TN 37209",36.108727,,3.0,TOWNHOUSE,1209.0,2300.0,2.0,12.0,,USA,USD,,,20251019
